Arabic_text,ar:manual_sentiment,ar:manual_confidence
"حسبي الله بس 😡",Negative,
ارجووكم اتوجهو للقياده في تمثيليه بتاعت ضرب رصاص في الهوا وبيقولو ديل قناصين عشان الناس تخاف وبيشيلو في المتاريس ح…,Negative,
موقف الهلال القانوني قوي جدا وفضحهم وهو سبب استقالة عضوين من لجنة الإنضباط .. نشوف اخرتها مع اتحادنا الموقر 👎…,Negative,
💔 يا من تشكو وحشتك وحزنك وضيق صدرك💔 ✏اعلم أن أنسك في الدنيا هو القرآن .. وأنسك في قبرك هو القرآن…,Negative,
#مسلسل_ودك_يتكرر_برمضان باب الحارة 💔,Negative,
"مع ألطاف المساء ودفئ الكون .. يرتادني طيفك وتحاكيني أيامك لتكن في دروب النعيم .. #رحم_الله حبيبي 💔",Negative,
وفي عيني اراك غير محدود كأن فيك الجمال والسحر ما يستغرق الكون ويملئ العالم، فأنت كما أنت غير محدود 😳,Negative,
إلى متى و المطر يدش لداخل البيت 😢💔 الناس تستانس في المطر إلا احنا نضايق لان يعفس البيت 💔 #المطر #البحرين,Negative,
لسه صاحي وحاجة تقرف 😤 اتأخرت ع الزفت الكلية 😤,Negative,
"والله عيب .. البعض يحتاج سنوات ضوئية .. حتى يتطور .. النظافة من الإيمان 😡",Negative,
تتذكر في أي موسم كانت هذه المباراة بين #النصر_الاتحاد ؟ 🤔 .. ومين كان بطل الدوري؟ جاوبنا في المنشن + ريتوبت للتغري…,Negative,
R - تويتاتج ع الجرح والله ، الافتار :( اسلووبج يهبل ياخ,Negative,
"جمهورنا : المتبعثر المكسور ! ياما : عطا .. ولا أخذ : حاجة ! ' ياما : وفا .. ولا عليه "" قصور "" ياما انجرح .. ولا لق…",Negative,
#النصر_الاتحاد توقع نتيجة مباراه #النصر_الاتحاد الجائزه ريال 💵 لصاحب التوقع الصحيح 🔴 شروط المسابقه ✅ متابعه ا…,Negative,
صباح الخير ليش عاملين لخمة ي عيال 😪,Negative,
شدخل زاحفه 😠,Negative,
✋ #صباح_ال خير يامدلل ماودك بهالمطر نتبلل ونعيد زمان الطيش نتراقص ونتعلل مع بعضنا نتجمل بدون عيب وليش ..!! ❤!!…,Negative,
البعبعات 🤔 صدفة عجيبة #السودان #الجزائر,Negative,
…,Negative,
ابييهاا تكفون 💔,Negative,
اللهم ان كنت أذنبت أو أخطأت في حق أحد من عبادك ف يارب اغفر لي و ارحمني ولا تجعل ذنوبي حاجزا بيني و بينك 😭…,Negative,
نفي مليون القفاري عضوا شرف النصر للحزم قبل مباراته مع الهلال الاسبوع الماضي بالرس 😬,Negative,
اخوه توفى بحادث و قعد يغني له هالبيتين كل شوي 💔 الله يرحمه ويغفر له,Negative,
شفت اللذي مايهاب وكن قلبه حصاه قدام عينه لو تموت الحمامه !. بكا .! 💔,Negative,
قالها: صدام حسين ﺎذו ﺎخبرت ﺎحد سرا مں ﺎسرارک ﻓقد ﺎھديته ﺭ̲صاصه ﻗد يرﻣيك بہا ﯾوما #̴̴حقيقة. 💔,Negative,
ازاى كنتو قريبين اوى مننا وعارفينا اوى كده وبرضو عاملين تجرحو فينا ازاى بنحبكم طول الوقت وانتو تأذونا طول الوقت 💔,Negative,
عشان انا شريرة 😬,Negative,
يارب لم يبقى لدي القوه 😢 . فبعزتك وجلالك أوكلت أمري إليك 🙏,Negative,
اللهم ان كنت أذنبت أو أخطأت في حق أحد من عبادك ف يارب اغفر لي و ارحمني ولا تجعل ذنوبي حاجزا بيني و بينك 😭…,Negative,
اهخخ يا انس كل ما شفت مقاطعها اقعد اتأمل و ابتسم من غير ما ادري 💔,Negative,
تلاتين سنة بترقص .. الليلة رقصتنا أنا ببكي 😭 دي حلاوة شديدة باخ,Negative,
القطعه شينه 😷,Negative,
:( خب,Negative,
ليس كل مايكتب على أرض الواقع ،، فهناك حروف من نسج الخيال ❗ وأنا مسؤولة عما أكتب ،، 🌸 ولست مسؤولة عما تفهم ❗ 🌿 .,Negative,
انا وحدي صوت الشوارع . . انا صوت القرميد. 💔,Negative,
عندما كان الهاتف ☎️ مربوطا بسلك . . كان البشر أكثر حرية 😔 #سہااڕۿ,Negative,
اي فكرة لفرض رسوم على التجار مرفووضة بعذر انهم ما يريدوا ينفروا المستثمرين ويشردوهم 🤔 وأي فكرة لفرض او رفع رسوم ع…,Negative,
"#مع_شركاء_القمه_الكل_رابح ترقبو الليلة #كاش💸💰 حفلة من أكبر الحفلات موعدنا معاكم اليوم الساعة :00 🎉 جائزة 💸…",Negative,
"دولة يحكمها عقلاء دستورهم الكتاب والسنة ولا تأخذهم في الحق لومة لائم 🇸🇦 __ هنا #الجيش_السلماني وفاء وولا…",Negative,
ليكو نفس تحتفلوا واحنا بقينا تاني مكرر 😐,Negative,
زجران التغريده هذه جم اندفع لك فيها 👎,Negative,
خلاص خليتهم ٪ شفت وحدة تسوق ليكزس ال اس :(,Negative,
💚🍃🌷📿 🥀 🥀 من السهل أن تضع يدك على فمك كي لآ. تتكلم ولكن من آلصعب أن تضع يدك على قلبك ك…,Negative,
"الي 😡",Negative,
رئيسين في يومين قالو الربيع العربي 😒 نحنا الكتاحه الأفريقية,Negative,
رئيسين في يومين قالو الربيع العربي 😒 نحنا الكتاحه الأفريقية,Negative,
اطيب من هالقلب؟❤️❤️❤️,Negative,
الناس ما تسقيك لا صرت عطشان لا صار ما شرب الفتى من ذراعه 👌 لو بهم خير كان خلصوها بالميدان بالثلاثه والأربعه ماهو ن…,Negative,
الكل هنا عاشق ويحب ونحن من نعلم الاخرين العشق ماذا يحصل لو وضعت البنت صورتها الحقيقه ؟ تبخر الغرام 🤔,Negative,
#مسلسل_ودك_يتكرر_برمضان مسلسل حلقات #على_مائدة_الإفطار وهيهات 😓 #علي_الطنطاوي,Negative,
هيووا الله يرحمك 😶,Negative,
⛔ مافي فض اعتصام قبل توجيه تجمع المهنيين يا سودان ⛔ مافي فض اعتصام قبل توجيه تجمع المهنيين يا سودان ⛔ مافي فض اعتصا…,Negative,
علق اخر شي ويارب ماتنحذف 😭,Negative,
"لازم اروح السكن اصلا عندي مد يوم الاربعاء ابا اذاكرله 💔",Negative,
براني غرامه وأتشافى على ذكراه ولا زلت ممروض من البعد وأعاني __✒️ 💔,Negative,
"الف ، نون ، ياء 🌚",Negative,
احس حرام ما كملوا اسبوع بفرحة انجازهم 😭,Negative,
قديم الزمن !! كم قرن يعني !؟ 🤔 كل عمرها السعودية لا يتجاوز سنة 🤭 قال قديم الزمن قال 😏 .,Negative,
وضعي امس 😭,Negative,
#الاتحاد_النصر كميت إحباط و يأس في الهاشتاق مو طبيعيه ليتني ما دخلت 😔,Negative,
رئيسين في يومين قالو الربيع العربي 😒 نحنا الكتاحه الأفريقية,Negative,
📌 التشيكي.. مرشح أيضا.. بس الله يكفينا شره.. خلونا على رافشان تكفون #النصر_الاتحاد,Negative,
الصرخه شي ثاني,Negative,
يارب خير 💔,Negative,
اللهم ارحم موتانا و اغسل قبورهم كما غسلت الارض بالمطر، اللهم امطر عليهم من نسائم رحمتك يالله .. أبوي وأمي 💔,Negative,
نشوف الليله 😒,Negative,
#رساله_لمن_فقدته اذكروا اخوي محمد بدعوه💔✋🏻 '' لا يذهب ألم الفقد حتى وان مرت الأيام .. اللهم اني اشتقت #لاخي لن…,Negative,
لست خجولا حين أصارحكم بحقيقتكم إن حظيرة خنزير أطهر من أطهركم تتحرك دكة غسل الموتى أما أنتم لا تهتز لكم قصبة 😏,Negative,
ماوريش احد كل ايامي خميس 😫,Negative,
جوناس خائن عطاهم ضربتين جزا الدور الأول والا مايفوز الفقراوي 😤,Negative,
الحديث الذي يصر أحدهم علي إنتزاعه منك رغم إظهارك الرغبة في عدم البوح الاسئلة التي تهرب من إجابتها االعيون الفضولية…,Negative,
…,Negative,
اسهر عشان اتريك اصلا 🌚,Negative,
"📌 نقلا للفائدة: مهام الوكيل والمعلم أثناء الاختبارات وبعض التوجيهات لقادة المدارس بالتنبيه على المعلمين👇🏻",Negative,
اللي بيحرق سيارته واللي بيطلع عاري واللي جاته جلطه واللي تضاربو وتذابحو كله عشان كوره !! 😳 واخر شي يجون يألفون علين…,Negative,
📌 قال الله تعالى { فما ظنكم برب العالمين } يقول ابن مسعود: [قسما بالله ما ظن أحد بالله ظنا؛ إلا أعطاه ما…,Negative,
"☜ #الساعه :00🕛 ☞ تم تجديد رصيد الاعضاء لكل عضو تغريدات باليوم 📍 📌#أجباري_وليس_أختياري📍 🌟┈┉┅━❀❀━┅┉🌟…",Negative,
ضاعت حياتي وانا احط يدي على الورقه 😢,Negative,
والله الهلال قاهرني بس يلا مو مشكله نحط الحره في الهدايا 💔,Negative,
تعبتت 😥,Negative,
لا يعني انتم فزتوا ع الرايد واهدافكم كلها صعبة ما يردها حتى نوير 😂! يا قوة الوجه 😭,Negative,
عادي تروحين المدرسة تغرقين عشان متأخرين؟,Negative,
#الهلال_الاهلي اسئل الله لكل من ساعدني برتويت ان الله يفرجها عليه فرج يتعجب منه ،يشهد الله اني اعول بنات ايتام و…,Negative,
الessay ده ممل فشخ 😒,Negative,
اهاا 🤔,Negative,
#تجمع_المهنين_السودانين_يمثلني ويمثلكم كلكم 😠,Negative,
سوقي تعلمي توظفي ولكن لاتعصين 😴,Negative,
انا حزينه اننا ما اتصورنا 😔,Negative,
"بيتزا ولا شاورما؟"". — كريب 💔",Negative,
"وماذا عن الذي ابتلي بحب دون لقاء الم يكفي ألم البعد حتى يذوق ألم الأشتياق 💔",Negative,
تلاتين سنة بترقص .. الليلة رقصتنا أنا ببكي 😭 دي حلاوة شديدة باخ,Negative,
"اعوذبالله بس ترى اخلص /١٦ 🙈",Negative,
من أبسط حقوق الأتحاد الفوز بس وين ذا الحماس و الروح القتالية من زمان 💔,Negative,
"يعني عايزين تفهموني اني لما اذاكر كتابين ييجي صفحه هدخل الامتحان فاكرة حاجه "" ده مثلا لو ذاكرتهم"" وهل هبقي دكتو…",Negative,
براني غرامه وأتشافى على ذكراه ولا زلت ممروض من البعد وأعاني __✒️ 💔,Negative,
اصلا لو حتى امير واجه ريحان هيكون في تكرار لانو ريحان نفس الاشي مش هتعرف تجاوبه وهي اصلا ما…,Negative,
#زلزل_الملعب_نصرنا_بيلعب #النصر_الاتحاد - عبدالرزاق حمد الله بعد مباراة الهلال قال كلمه للتاريخ : ( إذا ماتثق في…,Negative,
لعب فينا البعوض 😤,Negative,
ومفيش صحيان بدري علشان وراك مخروبة كلية 😢,Negative,
أتمنى ان لا تكون هذه هي التشكيله 💔,Negative,
ودي اعترف له بأمور واجد بس امسح 😣,Negative,
"صبساء الخير ولا تحتارين 🥰😂",Negative,
بعد م شفت اخطائهم بالمستشفى عرفت ان الكرف اللي انكرف فيه بالجامعه حاجه تستاهل م اتخيل بيوم اكون زي كذا واجيب العيد فالمرضى 😔,Negative,
طب كان فيها حاجه.. 🤔,Negative,
يخلع 😵,Negative,
وش احط اسمي 😐,Negative,
الى متى التعامل السئ للخادمات وعدم احترامهم وكأنهم حشرات والله هالمواقف تصير بيننا ونشوفها المربية جات من بيتها مع…,Negative,
لما تخرجتي اجت كل العيله من سفرها على عمان وطلعوا دغري على الكرك عشان يحضروا تخريجك 😒,Negative,
معقولة الكلام الكبير هذا يطلع من ناصر القصبي 😳 إللي مايعرف يجمع كلمتين على بعض في أي مقابلة تلفزيونية وتخلص المقابل…,Negative,
انتظر انتظر انتظر 😒,Negative,
بنشكر الله انو القلب عضلة مو عظم .. بضل التعضيل ارحم من الكسر 😔,Negative,
حساب روما نزل اهداف اوندير بعد عودته من الاصابه ماركو مشجع لروما علق على هدف منهم وكان في بارما وقال سهل لدرجه إن…,Negative,
تفرجت لمدة دقايق بسيطة على #مسرح_السعودية على قناة #MBC1 .. ماتضايقت من السماجة والإبتذال فهذا حال الكوميديا عن…,Negative,
هه 😭,Negative,
ماعرفت ان الغياب حيل موجع لين غبت وكل عروقي اوجعتني 💔 #اقالة_مجلس_ادارة_الوصل,Negative,
آخر ما توصلت إليه محلات تنسيق الزهور.. ربي ارحمنا وسامحنا..نستغفرك ربي ونتوب إليك ناس ما عندهم لقمة يآكلونها حاولت…,Negative,
😭😭تكفون,Negative,
وااي ذكرتني علج يدتي الله يرحمها كلا مخابي اثيابها 💔,Negative,
وماادراك ماابي 😢,Negative,
عليه العجاج من البطى يدفنه سافيه خلوج تون ، ، وقاسي الوقت حاديها 💔,Negative,
جالسه افكر كم يكون عمري رؤيه راح يكون كويس يمديني الحق 😭,Negative,
ودي اتعرف ع ناس قليلة ادب طفشت من المؤدبين. 😔 #تومبوي #ليز #تومبويز .,Negative,
المشي تحت المطر :(,Negative,
يا سنه وقفي الساعه بس .. ⏱️ حبيبي هسه ويايا❤️🥰 يا سنه وقفي الساعه بس ..🕰️ من حضنه اريد اخذ…,Negative,
يارب باكر اجازة 💔,Negative,
قصدي هاردلك الدوري 💔,Negative,
احسنت 😐,Negative,
راسي 😩,Negative,
صباحك سعيد ماشي مطر 😪,Negative,
"البحر الأسود اختصري وقتك وأتركيها الجزء الثاني خيااس 🌚",Negative,
يعني بكفي صوركم بالكتاب السنوي تبع العريس لحقاتنا على تويتر . . اشي بقلعط 😖,Negative,
عيب يسطا عيب 💔,Negative,
"أداء بروح وقتال ف عودة ف إنتصار ف فرحة يا الله 🙏 صباح الخير علي الجميع ღ ✋",Negative,
"#ااخ_قلبي 😔 الله ما اقسى القلوب #وطني يأن من الحروب ماذا جنينا يا اخي؟ ماذا ارتكبنا من ذنوب فجميعنا ابناء وطن والح…",Negative,
لن يهبط الاتحاد حتى لو خسر اليوم ، وأنا متاكد مليون بالمية لو الاتحاد المركز الأخير لن يهبط (راح يزيدون…,Negative,
بخيل تزوج اول يوم أكل زوجته خبز و بصل ثاني يوم خبز و بصل ثالث يوم نفس الشي والرابع كمان.. خامس يوم جاب معه خبز…,Negative,
الي يضحكون على ذا ايش فيه,Negative,
سلامة قلبك 😢,Negative,
الله يرحمه ويغفر له ويسكنه فسيح جناته 💔,Negative,
سمع 😒,Negative,
قصدي الأغنية ماشية مع صوتها ياريتها غنت مقاطع أكثر :(,Negative,
ييما وشصاير 😳,Negative,
قد ابدو لك انني اصبحت لا اهتم 💔 لكني اقسم لك انني لم اكن اهتم منذ البداية 😹🚬,Negative,
الله يرزقنا من واسع فضله يارب افوز 😔,Negative,
❁⸀ ↓ دائما نصل متأخرين .. لنكون لمن ينتظرنا ..وليس لمن نهواه متعبين نجلس في ذاك المكان الخالي .. وليس المكان…,Negative,
أوف تستهزين بالحكومة. 😭 الله يرحمك,Negative,
بعرف ما عتبان عليي عتبو عالي كاين فيي مش هيدا الي ألبو حبو ولا خصو بحالي :(,Negative,
يا ريت 😭 هو ما في نوم أبدا,Negative,
لان الفزعه في دمهم مو قاعدين ينتقدون امثالك 😏,Negative,
"إن لم تكونوا أوفياء ، فلا تعبثوا بقلوب الأنقياء 🥀",Negative,
أنت السميع لما اشكوه من كرب.. وأنت المجيب اذا ماقلت رباه.. 🥀,Negative,
عندما تحب أحدهم لا تخبره كثيرا عن ذلك الحب إجعله يراه .. 🍁 #تايه 💔 #اجمل_احساس_للدعم,Negative,
شكله لازم احترم نفسي و اقوم حتى لو نعسانه 💔,Negative,
التعزيين يسيطرو على كل مفاصل عدن واسواقها وجمعياتها لان الجنوبين معدومين 😏 ولاقاده يحمو الوطن,Negative,
الى متى التعامل السئ للخادمات وعدم احترامهم وكأنهم حشرات والله هالمواقف تصير بيننا ونشوفها المربية جات من بيتها مع…,Negative,
هو والله شوف، عز الله ان الاكل الحلو يعوض الهم 😢,Negative,
لعب فينا البعوض 😤,Negative,
💞 💔 لا الدرب دربي ولا العنوان عنواني ولا البلاد ولا الأوطان أوطاني أنا المغيبة في جب الزمان أنا رجع الصد…,Negative,
لعب فينا البعوض 😤,Negative,
مبكلش بره بس انا بتعولق بالمنظر ده 😢,Negative,
📌 عن عن ثوبان مولى رسول الله ﷺ ، قال : قال رسول الله ﷺ : ❐ استقيموا ولن تحصوا واعلموا أن خي…,Negative,
📌 من يخاف فليس منا.. تصبحون على خير #النصر_الاتحاد,Negative,
"موزة تغني دخل الحمام وتعري بزازها: كلبه بوث شفشفه نهود شيميل 😣 إبريل :59:21 مساء",Negative,
ليتك اهلاوي بس 😔,Negative,
الله يرحمهآ ويغفر لہآ ويجعل قبرهآ روضہ من ريآض الجنہ 👐,Negative,
"عشان نكون منصفين ، طبيعي إنو الزول لمن يلقى عليهو الضوء يتفاعل معاهو شوية .. انا بس الحاجة المزعل…",Negative,
لا بليز ما نريد 💔,Negative,
اشبك منفس ع الصبح 😐,Negative,
مملات ، نسونجية و تطخوا شرفيات 😪,Negative,
يا حيوان 😠 والله افضل صوت مغني سمعته ب حياتي,Negative,
من النهاردة 🤣,Negative,
اصيل ياخي 😞,Negative,
دايما انتي فاهيه وربي اخر من يعلم انتي مادري وين مخك 😭,Negative,
خاطري براسه 😢 #معصيتي_راحتى,Negative,
⛔ مافي فض اعتصام قبل توجيه تجمع المهنيين يا سودان ⛔ مافي فض اعتصام قبل توجيه تجمع المهنيين يا سودان ⛔ مافي فض اعتصا…,Negative,
بعيد عن حلاوتها 😭 ليهه مافلت شعرها كنت متأمله اشوف شعرها مفلول 😭😭 جايني شعور زق يقول شكله حتى بالعوده الجايه…,Negative,
احسها مقصدوده 💔,Negative,
الحمدلله 🌚,Negative,
كاردي سكرت مره و بثت لايف 😭,Negative,
شينك زمان وشينك وقت شلنا اهموم ماهي لعمرنا 😞,Negative,
لعب فينا البعوض 😤,Negative,
✔️ الحلقة التاسعة والعشرون من السيرة النبوية في تغريدات 💥 هجرة النبي ﷺ إلى المدينة…,Negative,
فيديو يوضح إن الاخوان ينافقون ويكذبون 🐏 حمزه زوبع /1/2019 ما يحدث في السودان ثوره ✋ بعد تصريح أردوغان انه إنقل…,Negative,
✋ #صباح_ال خير يامدلل ماودك بهالمطر نتبلل ونعيد زمان الطيش نتراقص ونتعلل مع بعضنا نتجمل بدون عيب وليش ..!! ❤!!…,Negative,
ابسسد 😭,Negative,
الله لايحط الاتحاديين مكانك 😭💔 بسم الله ع اتحادنا 😔,Negative,
#إلهي ، هل يمكن أن توقظ هذا القلب المحجوب والمنكوس ، وتجر هذا الغافل المستغرق في ظلمات الطبيعة إلى عالم النور…,Negative,
#غيابك_خطف_ابتسامتي #بس أحلفك .. #من تصد عينك بعين الناس #هم تتذكر عيوني ؟ 💔 #العراق_للدعم #عطور_الاقلام,Negative,
#مسلسل_ودك_يتكرر_برمضان بواري اول مسلسل كان في رمضان 😭,Negative,
اللهم امين يارب العالمين حسبنا الله ونعم الوكيل 💔,Negative,
"الاعضاء يتكلمون عن ظهور هالزي معهم ورقصها وجيمين قال لها : "" سيكون من الرائع لو نظرتي في عيناي في المرة القادمه ..…",Negative,
بتعاكسني وانا راجعه من الجامعه ازااي ..! 💔 يعني قليل الأدب وكمان أعمي ..! 🙄,Negative,
صباحح الخيير كبشاات ❤❤ ووكتيش تصير الساعه ي رب 😭,Negative,
⏳اقل من ساعه على بداية الكلاسيكو . - نسبة تفاؤلك 🤔 ؟,Negative,
"إنما الدنيا شقاء وهم فكم نسعى لها وكم وكم فكل الحياة شقاء بسم تسقيك كاس العناء وألم #صباح_الخير 🥀",Negative,
لا شئ يؤلم أكثر من صورة قادمة من الذكريات تمسكها بيدك فإذا بها تفتح عليك باب الحنين ، دون أن تخرجك منه لساعات طويل…,Negative,
اوكي 😏,Negative,
ياشين الصباح ابي انام مش قادرة 😭,Negative,
وجع الموت صعب 🙁 وجع الفراق اصعب 😢 صحيت ع خبر وفاة زوجه صاحب اخى ام لطفل عمره شهور ياجماعه اى حد يشكى من الم وجع…,Negative,
اتغار ?نعم اغار😔 ممن?! من الذين يلمسون الكعبة وانا المشتاق 💔 اللهم ارزقنا زيارة بيتك الحرام والسجود فيه,Negative,
سبحان من سخر رؤيتك لإسعادي، و غيابك عقابا لذنوبي 💔 ',Negative,
لاحول ولا قوة الا بالله العلي العظيم,Negative,
"جمهورنا : المتبعثر المكسور ! ياما : عطا .. ولا أخذ : حاجة ! ' ياما : وفا .. ولا عليه "" قصور "" ياما انجرح .. ولا لق…",Negative,
إذا خلعته كيف بدو يطلع بداله 🤔,Negative,
#الوتر_جنة_القلوب سبحانك آللهم و بحمدك أشهد أن لآ إله إلآ أنت أستغفرك و أتوب إليك #كفاره_المجلس 💭✨ .…,Negative,
ايش اسمك بلغت الاطفال ؟ 🙈 انا : وال 😂💔,Negative,
"💛💚 باقة 💚💛 ❣❣ أحيوا أمرنا ❣❣ ➖➖ /04/12➖➖ 💡 اللهم صل على محمد وآل محمد وعجل…",Negative,
لا تتنازل أبدا ! عن عزة نفسك ، سيؤلمك الفراق قليلا .. وبعد ذلك ستكون فخورا جدا بإحتفاظك بكرامتك و ستبتسم 😏 🌹,Negative,
شبعنا من عناهم وأرتوينا وعند أرسوم منزلهم بكينا وعقب أفراقهم شنا ، وحنا وحنينا ،، وثم أنا ،، عوينا وسايمنا ، و…,Negative,
هكذا هم ناكيري الجميل 💔,Negative,
اي والله علوش 😥,Negative,
لازم تعرف 🙈,Negative,
اناا🙋🏻🙋🏻,Negative,
وأنا والله صدااع ✋,Negative,
طيب لو كانت مريضة بسرطان وشعرها راح 🤔,Negative,
اه بس انتي في ضلال مبين ✋,Negative,
ماتضحك الخطر وتستانس الناس إلا على صوت المطر يوم يبكي :(,Negative,
ل كل ﭑلمفارقين 😴 تخيل توصلک رسالهہ ( ﭑسف ع ﭑلغياب وﭑشتقتلک )🌿 وش ترد؟,Negative,
گم #ﻫﻲ ﺻﻌبة لحظﺎﺕ #ﺍﻹﺷتيﺎﻕ ﻟﻤﻦ😔 ﻻ ﻳﻤگن ﺭوﻳﺘﻬﻢ #ﺃﻭ ﺣﺘﻰ #ﻣﺤﺎﺩثﺘﻬﻢ 💔,Negative,
وما زلنا نتعلم كل يوم من الحياة درسا ج٘ديدا رغم أن ثمن بعض الدروس مؤ٘لم جدآ 💔,Negative,
فكر فيها 📍,Negative,
ادري بتفقدوني 😢,Negative,
المعركة معروفة ومسطرك بلمسة بطل اسمه ميشال عون بعكس…,Negative,
لا مهو ممنوع تتزوج من برى القبيله بس ومهي مجبوره ع عيال عمها بس عندنا بنات يسوو الف 🙄👌بس نظام…,Negative,
"وانقضت أوقات ظننتها الأبد! -الحمد لله كثيرا! سلمت آخر جزء، من مادة البحث اللغوي والأدبي، وفيها تناولنا ما يربو عل…",Negative,
 ف والله لو دخل كل منا قلب الآخر لأشفق عليه  💔,Negative,
امين💔,Negative,
وحشتنا يا محمد وشلونك عساك طيب 😭 #زلزل_الملعب_نصرنا_بيلعب #النصر_الاتحاد #نبيها_فل_السبت #السهلاوي,Negative,
ما هي الاكلة المفضلة عند الكولومبيين؟ _اكيد محشي كولومب 😂😂 عفوا عالرخامه والله معلش ✋,Negative,
واعلم أن امك تحبك كثيرا ❤️,Negative,
من الساعة احاول انام عشان اقعد بوقت مباراة توتنهام و مو قادر 💔,Negative,
"وقت ماجاء البارت حقه بسم الله صوته حلو 😭",Negative,
ماسكني صداع من امس مو راضي يروح 💔,Negative,
دم الشهيد م يروح هدر 😣 #لم_تسقط_بعد #اعتصام_القياده_العامه,Negative,
فولو بااك ✌️للكل 🔙 ✌️ 🔥 #زعيم_تويتر_فولورز_اهلاوي,Negative,
بره فين 🤔,Negative,
_ ♨️ اقسم بالله 🍯 👍 🚫 عسل سدر جبلي طبيعي 🚫 💯 💯 💯 💯 😊 من منحلي ال…,Negative,
محزن هالعمر الي ضااع 💔,Negative,
هو اسمو عبد الفتاح و كمان عسكري 🤔 والله الوضع ما مطن ، للضمان كده اسقطوهو و شوفو البعدو,Negative,
فيه شخص اراقب حسابه وفجأة كتب تغريدة لبى اللي يفصفص حسابي وبعدها كتب ان تجيه اشعارات ومدري هو صدق تجي اشعارات 😭 — يب,Negative,
"#مسلسل_ودك_يتكرر_برمضان #امطار_الشرقيه 🚫 لا تؤجل قرارك بتخفيض وزنك 🔥💪⚡ السمنة منظر غير جميل😔 🔥💪⚡ السمنة…",Negative,
الناس بتتخن بالكيلوات وانا بتخن بالجرامات :(,Negative,
هذا ممكن يعوضنا حسم رونالدو ! 💣,Negative,
انتظرك ولازلت متمسك فيك وغيري للأسف فيك يقهرني 💔,Negative,
تلاتين سنة بترقص .. الليلة رقصتنا أنا ببكي 😭 دي حلاوة شديدة باخ,Negative,
كت تويت // سؤال ماتحبه انا : وين راح معاشك 😭 وانتم❓❓,Negative,
والله الثلاثة اتفه من بعض العروس كريهة شو يعني لو الام ركبت و العريس دراما حبتين طلقها عشي تافه و الام نشبة و لزقة…,Negative,
الى متى التعامل السئ للخادمات وعدم احترامهم وكأنهم حشرات والله هالمواقف تصير بيننا ونشوفها المربية جات من بيتها مع…,Negative,
. تعاهدنا على السير في درب انتظار المهدي. 💕 عزيز علي أن أرى الخلق ولا ترى! عزيز علي أن أبكيك 💔…,Negative,
نسكن عندكم 😢,Negative,
واجد منه 😏,Negative,
العسل معقولة نسيتى ليلوش 🤔,Negative,
كم نفرات بالصوره سديق ؟ حتى مش نفر 😏 …,Negative,
اي فكرة لفرض رسوم على التجار مرفووضة بعذر انهم ما يريدوا ينفروا المستثمرين ويشردوهم 🤔 وأي فكرة لفرض او رفع رسوم ع…,Negative,
#امطار_الشرقيه تو صحيت بقوم بعد شوي اصور لكم الامطار لاحد يروح 🤔,Negative,
"و الله زعلت على أحد لانه فريق مدينتي الغالية و غالي على.. إنشاء الله يفرحني الاتحاد فريقي الغالي",Negative,
من اصعب ايام حياتي 💔 اللهم ارحمنا 🤲🏻,Negative,
"#نطالب_بفتح_مكبرات_المساجد سيكون رمضان حزين بلا صلاة تراويح جهرية. اشياء كثيرة تغيرت علينا في وطنا 💔",Negative,
اذا اكتشفت أنه حبيبتك بتدخن تسيبها أو تكمل معاها 🙈 ؟!؟!,Negative,
طبعا الامڤي بوي وذ لوف احلى.. تعرفي للحين ماسامعه النسخه الثانيه وباقي الالبوم سمعته مره وحده 🌚,Negative,
اغنيه مكملناش #تامر_عاشور 💔 #بصوتي 🎶,Negative,
فهميدي به منم مشاوره بده :(,Negative,
لاا الله الا الله مش قادره نستوعب 💔💔 ان لله وان اليه راجعون 💔,Negative,
اقسمت أن اهجرالحب واغلق دونه قلبي .. وأنساه دهرا طويلا وينسانا .. لكن رياح الهوى عصفت بالقلب ..حتى رمته .. فعا…,Negative,
┊┊⇣✧ ┊⇣✦ ⇣✧ ⠀⠀ لليالي نجد مامثلك لليالي غلاك أول وزاد الحب غالي ،.#الرياض #مطر🇸🇦🎵🕊✨ #ذكراك 💔 #حنايا_الغيث💜🌟,Negative,
"هل تعلم : واحد سطايفي بالضبط من "" عين ولمان "" حكمو عندو قناطر بصلة ضربوه ب مليون بروسي والشاحنة سيزي .. وال…",Negative,
العما مين الو قلب 😔,Negative,
كسرنا رقم تشين 🤟🏻 بانقتان عندهم الف مستمع ب ساعه في ميلون فقط,Negative,
التايم عندي فاضي ذا الوقت كأنو احنا برمضان 😐,Negative,
تسألني بغيابك عن احوالي ؟ تصدق ماعاد لي حال من بعد مارحت 😴,Negative,
مشعل السلمي - رئيس البرلمان العربي، وفي بلده لايوجد برلمان 🤐,Negative,
صباح الورد😘 ميته جوع 💔 مين يعزمني عالفطور 😞 ايه يامحمد اعتبر الايك عزيمه ولا ايه 😑💔,Negative,
"أنت اطلقت عليها تقارير غبية ..صحيح وهناك الأفضل ..تقارير حميرية مع قليل من البرسيم 😡",Negative,
يبتها على العوق 💔 كل المحلات شلو الكراسي إلا محلات الجواتي والنعول,Negative,
ان جيتوا للحق أنا اللي سقفت للقرد وزعلت لما اتنطط 🌚,Negative,
اللهم قدر لي الخير حيث كان ثم أرضني به 👐,Negative,
